Country,Year,Cellphone,Internetuser,Radio,Telephone,Xlpopulation,Xlrealgdp
China,1978,0,0,89000,1925000,956165,935884
China,1979,0,0,92000,2033000,969005,1000000
China,1980,0,0,95000,2141000,981235,1000000
China,1981,0,0,100000,2221000,993861,1100000
China,1982,0,0,104000,2342000,1000000,1200000
China,1983,0,0,109000,2508000,1000000,1300000
China,1984,0,0,115000,2774000,1000000,1400000
China,1985,0,0,120000,3020000,1100000,1600000
China,1986,0,0,151000,3504000,1100000,1700000
China,1987,693.4149,0,189000,3907000,1100000,1800000
China,1988,3168.696,0,237000,4727000,1100000,2000000
China,1989,9628.128,0,297000,5680000,1100000,2000000
China,1990,18000.05,0,373000,6850000,1100000,2100000
China,1991,46758.98,0,385000,8451000,1200000,2200000
China,1992,174157.9,0,394000,11288575,1200000,2400000
China,1993,628422.6,1969.977,398500,17071818,1200000,2700000
China,1994,1545994,13803.52,403000,26912222,1200000,3000000
China,1995,3548811,58674.19,408000,39806236,1200000,3200000
China,1996,6695220,156316.2,413000,53681928,1200000,3400000
China,1997,13000000,393318.6,417000,69135584,1200000,3700000
China,1998,23600000,2076983,421000,86462768,1200000,3900000
China,1999,42800000,8807945,425000,1.08E+08,1300000,4000000
China,2000,83100000,21900000,0,1.41E+08,1300000,4400000
China,2001,140000000,32700000,0,1.75E+08,1300000,0
China,2002,206000000,58900000,0,2.14E+08,1300000,0
China,2003,0,81500000,0,0,0,0
India,1875,0,0,0,0,0,0
India,1876,0,0,0,0,0,0
India,1877,0,0,0,0,0,0
India,1878,0,0,0,0,0,0
India,1879,0,0,0,0,0,0
India,1880,0,0,0,0,0,0
India,1881,0,0,0,0,0,0
India,1882,0,0,0,0,0,0
India,1883,0,0,0,0,0,0
India,1884,0,0,0,0,0,0
India,1885,0,0,0,0,0,0
India,1886,0,0,0,0,0,0
India,1887,0,0,0,0,0,0
India,1888,0,0,0,0,0,0
India,1889,0,0,0,0,0,0
India,1890,0,0,0,0,234336,142525
India,1891,0,0,0,0,0,0
India,1892,0,0,0,0,0,0
India,1893,0,0,0,0,0,0
India,1894,0,0,0,0,0,0
India,1895,0,0,0,0,0,0
India,1896,0,0,0,0,0,0
India,1897,0,0,0,0,0,0
India,1898,0,0,0,0,0,0
